,Dataset,Fold,Method,Metric,Patient,Performance
418,V-23_24,4,MMSBM,Precision,22,0.4285714279591837
419,V-23_24,4,MMSBM,Accuracy,22,0.782608695652174
420,V-23_24,1,MMSBM,Recall,23,0.8181818181818182
421,V-23_24,1,MMSBM,Precision,23,0.8999999991
422,V-23_24,1,MMSBM,Accuracy,23,0.875
423,V-23_24,0,MMSBM,Recall,23,0.5714285714285714
424,V-23_24,0,MMSBM,Precision,23,0.4444444439506172
425,V-23_24,0,MMSBM,Accuracy,23,0.6666666666666666
426,V-23_24,3,MMSBM,Recall,23,0.8
427,V-23_24,3,MMSBM,Precision,23,0.666666666111111
428,V-23_24,3,MMSBM,Accuracy,23,0.7391304347826086
429,V-23_24,2,MMSBM,Recall,23,0.8571428571428571
430,V-23_24,2,MMSBM,Precision,23,0.7499999990624999
431,V-23_24,2,MMSBM,Accuracy,23,0.875
432,V-23_24,4,MMSBM,Recall,23,0.9166666666666666
433,V-23_24,4,MMSBM,Precision,23,0.9166666659027777
434,V-23_24,4,MMSBM,Accuracy,23,0.9130434782608696
435,V-23_24,1,MMSBM,Recall,95,0.7
436,V-23_24,1,MMSBM,Precision,95,0.8749999989062499
437,V-23_24,1,MMSBM,Accuracy,95,0.8333333333333333
438,V-23_24,0,MMSBM,Recall,95,0.8
439,V-23_24,0,MMSBM,Precision,95,0.7999999992
440,V-23_24,0,MMSBM,Accuracy,95,0.8333333333333333
441,V-23_24,3,MMSBM,Recall,95,0.7777777777777778
442,V-23_24,3,MMSBM,Precision,95,0.8749999989062499
443,V-23_24,3,MMSBM,Accuracy,95,0.8695652173913043
444,V-23_24,2,MMSBM,Recall,95,0.6875
445,V-23_24,2,MMSBM,Precision,95,0.9166666659027777
446,V-23_24,2,MMSBM,Accuracy,95,0.75
447,V-23_24,4,MMSBM,Recall,95,0.5
448,V-23_24,4,MMSBM,Precision,95,0.6666666659259258
449,V-23_24,4,MMSBM,Accuracy,95,0.6086956521739131
450,V-23_24,1,MMSBM,Recall,28,0.0
451,V-23_24,1,MMSBM,Precision,28,0.0
452,V-23_24,1,MMSBM,Accuracy,28,0.75
453,V-23_24,0,MMSBM,Recall,28,1.0
454,V-23_24,0,MMSBM,Precision,28,0.8749999989062499
455,V-23_24,0,MMSBM,Accuracy,28,0.9583333333333333
456,V-23_24,3,MMSBM,Recall,28,0.46153846153846156
457,V-23_24,3,MMSBM,Precision,28,0.8571428559183674
458,V-23_24,3,MMSBM,Accuracy,28,0.6521739130434783
